Makine,Tarih,Hedef Miktar,Üretilen Miktar
Makine1,1.2.2024,80,75
Makine1,2.2.2024,60,75
Makine1,3.2.2024,40,35
Makine1,4.2.2024,70,68
Makine1,5.2.2024,100,93
Makine1,6.2.2024,50,99
Makine1,7.2.2024,45,120
Makine1,8.2.2024,65,40
Makine1,9.2.2024,55,70
Makine1,10.2.2024,85,60
Makine1,11.2.2024,90,50
Makine1,12.2.2024,100,99
Makine1,13.2.2024,100,102
Makine1,14.2.2024,100,146
Makine1,15.2.2024,100,100
Makine1,16.2.2024,100,101
Makine2,1.2.2024,120,120
Makine2,2.2.2024,120,128
Makine2,3.2.2024,120,118
Makine2,4.2.2024,120,112
Makine2,5.2.2024,120,110
Makine2,6.2.2024,120,120
Makine2,7.2.2024,120,124
Makine2,8.2.2024,120,120
Makine2,9.2.2024,120,114
Makine2,10.2.2024,140,130
Makine2,11.2.2024,140,175
Makine2,12.2.2024,140,136
Makine2,13.2.2024,140,140
Makine2,14.2.2024,140,139
Makine2,15.2.2024,140,132
Makine2,16.2.2024,140,137
Makine3,1.2.2024,90,82
Makine3,2.2.2024,90,30
Makine3,3.2.2024,90,85
Makine3,4.2.2024,90,88
Makine3,5.2.2024,90,93
Makine3,6.2.2024,90,91
Makine3,7.2.2024,90,81
Makine3,8.2.2024,90,89
Makine3,9.2.2024,90,94
Makine3,10.2.2024,90,60
Makine3,11.2.2024,90,90
Makine3,12.2.2024,90,89
Makine3,13.2.2024,90,50
Makine3,14.2.2024,90,105
Makine3,15.2.2024,90,84
Makine3,16.2.2024,90,92
Makine4,1.2.2024,110,110
Makine4,2.2.2024,110,112
Makine4,3.2.2024,110,110
Makine4,4.2.2024,110,111
Makine4,5.2.2024,110,108
Makine4,6.2.2024,110,65
Makine4,7.2.2024,110,107
Makine4,8.2.2024,110,115
Makine4,9.2.2024,110,102
Makine4,10.2.2024,110,150
Makine4,11.2.2024,110,103
Makine4,12.2.2024,110,170
Makine4,13.2.2024,110,45
Makine4,14.2.2024,110,107
Makine4,15.2.2024,110,50
Makine4,16.2.2024,110,115
Makine5,7.2.2024,110,65
Makine5,8.2.2024,110,115
Makine5,9.2.2024,110,51
Makine5,10.2.2024,110,118
Makine5,11.2.2024,110,75
Makine5,12.2.2024,110,74
Makine5,13.2.2024,110,67
Makine5,14.2.2024,110,73
Makine5,15.2.2024,110,117
Makine5,16.2.2024,110,112
